@relation 'final data set-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B0.0-S0-Z80.0'

@attribute '         AGE' numeric
@attribute '     GENDER' {male,female}
@attribute '    HOUSING ' {own,free,rent}
@attribute ' CREDIT AMOUNT' numeric
@attribute ' PURPOSE' {radio/TV,education,furniture/equipment,car,business,'domestic appliances',repairs,vacation/others}
@attribute ' CLASS' {good,bad}
@attribute '  CREDIT HISTORY ' {'Critical/other credits existing','Existing paid','Delayed previously','No credits/all paid ','All paid'}
@attribute '       JOB' {Skilled,'Unskilled- Resident',Self-employed,'Unskilled- Non resident'}

@data
50,female,own,1047,education,good,'Critical/other credits existing','Unskilled- Resident'
31,male,own,1410,education,good,'No credits/all paid ','Unskilled- Resident'
25,female,own,5771,radio/TV,good,'Critical/other credits existing',Skilled
25,male,rent,3213,radio/TV,good,'Existing paid',Skilled
29,female,own,3990,'domestic appliances',good,'All paid','Unskilled- Non resident'
41,male,own,6313,car,good,'Existing paid',Self-employed
57,female,free,2748,education,good,'Critical/other credits existing','Unskilled- Resident'
54,male,free,1597,education,good,'Critical/other credits existing',Skilled
58,female,own,385,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
23,female,rent,1236,'domestic appliances',good,'Existing paid',Skilled
31,male,own,9857,business,good,'Delayed previously','Unskilled- Resident'
52,male,own,717,radio/TV,good,'Critical/other credits existing',Skilled
52,female,own,362,car,good,'Critical/other credits existing','Unskilled- Resident'
48,female,rent,1795,radio/TV,good,'Critical/other credits existing','Unskilled- Resident'
34,male,own,1860,car,good,'Critical/other credits existing',Self-employed
32,male,own,2848,car,good,'Existing paid',Skilled
23,female,rent,601,furniture/equipment,good,'Existing paid','Unskilled- Resident'
35,female,own,3447,education,good,'All paid','Unskilled- Resident'
31,male,own,3378,car,good,'Existing paid',Skilled
42,female,rent,1965,car,good,'Delayed previously',Skilled
31,female,own,9566,radio/TV,good,'Critical/other credits existing',Skilled
75,female,own,1374,car,good,'Existing paid',Self-employed
57,male,rent,1264,business,good,'Critical/other credits existing','Unskilled- Resident'
44,male,own,1478,furniture/equipment,good,'Critical/other credits existing',Skilled
44,male,own,1163,car,good,'Critical/other credits existing',Skilled
42,male,own,1455,car,good,'Critical/other credits existing','Unskilled- Resident'
40,male,own,3077,radio/TV,good,'Critical/other credits existing',Skilled
35,male,own,1410,business,good,'Existing paid',Skilled
40,male,rent,1905,education,good,'Existing paid',Self-employed
24,female,rent,4811,car,good,'Existing paid','Unskilled- Resident'
24,female,free,5743,education,good,'Critical/other credits existing',Skilled
27,male,own,1391,business,good,'Existing paid',Skilled
28,female,own,2073,radio/TV,good,'Existing paid',Skilled
31,male,own,2406,furniture/equipment,good,'Critical/other credits existing',Self-employed
35,male,own,2728,radio/TV,good,'Critical/other credits existing',Skilled
21,male,rent,1766,furniture/equipment,good,'Existing paid',Skilled
55,female,own,1424,furniture/equipment,good,'Existing paid',Self-employed
41,male,own,6313,car,good,'Existing paid',Self-employed
29,male,own,2333,furniture/equipment,good,'Delayed previously','Unskilled- Resident'
27,male,own,3652,business,good,'Critical/other credits existing',Skilled
35,male,own,1549,car,good,'Existing paid','Unskilled- Non resident'
41,male,rent,1469,car,good,'Existing paid','Unskilled- Resident'
38,male,own,3229,car,good,'Critical/other credits existing',Self-employed
35,female,own,1592,furniture/equipment,good,'Critical/other credits existing',Skilled
27,male,own,1995,car,good,'Critical/other credits existing',Skilled
24,male,own,1800,radio/TV,good,'Critical/other credits existing',Skilled
37,male,free,2279,radio/TV,good,'Existing paid',Skilled
34,female,rent,3017,furniture/equipment,good,'Existing paid',Self-employed
33,female,own,1927,education,good,'Critical/other credits existing',Skilled
34,male,own,3496,furniture/equipment,good,'All paid',Skilled
45,male,own,339,education,good,'All paid','Unskilled- Resident'
44,male,free,5507,repairs,good,'Critical/other credits existing',Skilled
20,female,rent,4675,car,good,'Existing paid',Skilled
34,female,own,1493,radio/TV,good,'Existing paid',Skilled
37,male,own,3878,car,good,'Critical/other credits existing',Skilled
52,female,free,2133,car,good,'Existing paid',Self-employed
30,male,own,3566,business,good,'All paid',Skilled
31,male,own,1360,radio/TV,good,'Critical/other credits existing',Skilled
47,male,own,1393,education,good,'Existing paid',Skilled
25,male,rent,3213,radio/TV,good,'Existing paid',Skilled
31,male,own,2406,furniture/equipment,good,'Critical/other credits existing',Self-employed
50,male,rent,1236,car,good,'Existing paid',Skilled
41,male,own,3979,radio/TV,good,'Existing paid',Skilled
28,male,own,776,radio/TV,good,'Existing paid',Skilled
35,female,own,10722,car,good,'Existing paid','Unskilled- Resident'
45,male,own,6761,car,good,'Critical/other credits existing',Self-employed
23,male,own,882,radio/TV,good,'Critical/other credits existing',Skilled
21,male,own,1289,furniture/equipment,good,'Existing paid','Unskilled- Resident'
50,male,own,2241,furniture/equipment,good,'Existing paid',Skilled
37,female,own,1287,car,good,'Critical/other credits existing',Skilled
29,male,own,2333,furniture/equipment,good,'Delayed previously','Unskilled- Resident'
29,male,own,3556,car,good,'Existing paid',Skilled
45,male,own,3527,car,good,'Existing paid',Self-employed
50,male,free,7476,education,good,'Existing paid',Self-employed
25,male,own,5511,furniture/equipment,good,'Existing paid',Skilled
