@relation final_data

@attribute '         AGE' numeric
@attribute '     GENDER' {male,female}
@attribute '    HOUSING ' {own,free,rent}
@attribute ' CREDIT AMOUNT' numeric
@attribute ' PURPOSE' {radio/TV,education,furniture/equipment,car,business,'domestic appliances',repairs,vacation/others}
@attribute ' CLASS' {good,bad}
@attribute '  CREDIT HISTORY ' {'Critical/other credits existing','Existing paid','Delayed previously','No credits/all paid ','All paid'}
@attribute '       JOB' {Skilled,'Unskilled- Resident',Self-employed,'Unskilled- Non resident'}

@data
67,male,own,1169,radio/TV,good,'Critical/other credits existing',Skilled
22,female,own,5951,radio/TV,bad,'Existing paid',Skilled
49,male,own,2096,education,good,'Critical/other credits existing','Unskilled- Resident'
45,male,free,7882,furniture/equipment,good,'Existing paid',Skilled
53,male,free,4870,car,bad,'Delayed previously',Skilled
35,male,free,9055,education,good,'Existing paid','Unskilled- Resident'
53,male,own,2835,furniture/equipment,good,'Existing paid',Skilled
35,male,rent,6948,car,good,'Existing paid',Self-employed
61,male,own,3059,radio/TV,good,'Existing paid','Unskilled- Resident'
28,male,own,5234,car,bad,'Critical/other credits existing',Self-employed
25,female,rent,1295,car,bad,'Existing paid',Skilled
24,female,rent,4308,business,bad,'Existing paid',Skilled
22,female,own,1567,radio/TV,good,'Existing paid',Skilled
60,male,own,1199,car,bad,'Critical/other credits existing','Unskilled- Resident'
28,female,rent,1403,car,good,'Existing paid',Skilled
32,female,own,1282,radio/TV,bad,'Existing paid','Unskilled- Resident'
53,male,own,2424,radio/TV,good,'Critical/other credits existing',Skilled
25,male,own,8072,business,good,'No credits/all paid ',Skilled
44,female,free,12579,car,bad,'Existing paid',Self-employed
31,male,own,3430,radio/TV,good,'Existing paid',Skilled
48,male,own,2134,car,good,'Critical/other credits existing',Skilled
44,male,rent,2647,radio/TV,good,'Existing paid',Skilled
48,male,rent,2241,car,good,'Critical/other credits existing','Unskilled- Resident'
44,male,own,1804,car,good,'Critical/other credits existing',Skilled
26,male,own,2069,furniture/equipment,good,'Critical/other credits existing',Skilled
